Loc,Input,block,totBact,SamplN
F,+,1,6014608,0
F,+,2,5436005,0
F,+,3,5980878,0
C,+,1,5947933,0
C,+,2,6590721,0
C,+,3,5980418,0
F,-,1,6014608,0
F,-,2,5436005,0
F,-,3,5980878,0
C,-,1,5947933,0
C,-,2,6590721,0
C,-,3,5980418,0
