Loc,Input,block,totPhyt,SamplN
F,+,1,165599.2,0
F,+,2,179255.9,0
F,+,3,160669,0
C,+,1,170502,0
C,+,2,166772.2,0
C,+,3,124120,0
F,-,1,165599.2,0
F,-,2,179255.9,0
F,-,3,160669,0
C,-,1,170502,0
C,-,2,166772.2,0
C,-,3,124120,0
