Loc,Input,block,chlTot,SamplN
C,+,1,2.779921,0
C,-,1,2.779921,0
F,+,1,3.481066,0
F,-,1,3.481066,0
C,+,2,2.883848,0
C,-,2,2.883848,0
F,+,2,3.101689,0
F,-,2,3.101689,0
C,+,3,2.509187,0
C,-,3,2.509187,0
F,+,3,3.180614,0
F,-,3,3.180614,0
