Picocyano,Nanocyano,Picoeuk,Nanoeuk,LNA,HNA
97562.83321,76.1614623,86801.21858,44021.32521,1210892.941,5499064.984
94439.89071,34.15300546,77056.01093,36017.75956,1822359.657,9428449.096
92988.88162,13.08044474,73577.50164,25114.45389,1014061.78,4277593.361
150085.5676,439.2470051,80501.99658,32470.05134,1241995.36,6347273.782
97029.6496,86.25336927,64948.78706,31962.26415,1122078.907,6158421.851
77526.27891,0,67603.3637,25031.53469,1298685.121,5722006.92
163295.2776,1281.785158,75018.16295,38531.39595,1356678.201,5948027.682
111494.709,85.97883598,78974.86772,32671.95767,1359151.786,5634207.589
95557.92466,42.64392324,67071.78394,21855.01066,1522276.029,5914366.425
143664.1221,87.24100327,65038.16794,36488.54962,2042515.593,5420582.121
185410.5263,989.4736842,85094.73684,44252.63158,2458630.528,7482738.944
148050.8475,1737.288136,65021.18644,32362.28814,1957557.707,5407297.096
114564.7558,212.3142251,68221.86837,50488.32272,1731712.627,5054136.43
126550.1969,167.3228346,74881.88976,38179.13386,2214218.75,5510312.5
141220.4234,33.20880033,75006.22665,23877.12744,3067851.623,5399690.881
97445.21338,98.03921569,59786.62053,29411.76471,2994512.195,5047493.225
200225.1082,2125.541126,93774.89177,44497.8355,2569961.686,7027662.835
106344.7433,812.9584352,57616.13692,30238.38631,2704959.196,5203578.154
117699.6805,3240.529439,30004.56413,14454.58695,2317154.15,6175335.968
158430.0341,6936.860068,51612.62799,33993.17406,1374663.836,5565109.696
153610.8821,3066.776587,21854.90519,11698.26876,2290734.824,6262619.808
97695.97819,2535.787321,32617.58691,23128.83436,1861061.947,5274014.481
155955.8824,4653.361345,52605.04202,38529.41176,2081048.387,6179758.065
118581.2357,3585.04958,35087.7193,23264.68345,2261710.631,5791766.587
168730.1587,105.8201058,73844.79718,28906.52557,1515484.805,7087047.757
160361.596,336.6583541,67219.45137,31408.97756,2162891.344,13129650.09
133398.6928,769.7893972,58416.84822,27625.27233,1251973.392,7956895.787
154385.7036,193.5964259,65160.08935,34311.24348,1662891.699,9154205.607
225598.0066,797.3421927,67225.91362,30503.87597,1914350.453,8500981.873
66519.55307,44.69273743,56100.55866,23849.16201,1611030.008,11841768.05
143557.6282,93.27115256,60799.46702,28780.81279,1403521.52,9471604.248
145347.3438,87.56567426,84640.98074,43473.43841,1696175.2,13098951.26
124402.0927,179.3721973,63699.55157,35269.0583,1540320.334,9992479.109
217901.5544,356.2176166,43866.58031,59553.10881,1503480.278,8258546.017
215530.76,1761.158022,54861.27865,32038.60072,2605996.252,9393941.287
275378.9551,2119.205298,50103.01692,37498.16041,2195833.333,8811342.593
70571.42857,1935.483871,32119.81567,26728.1106,1417373.899,4033306.645
217439.5048,1232.414181,78497.46764,41812.04277,3691171.875,9111562.5
180008.7146,1115.46841,50627.45098,47877.99564,2156620.093,7242581.504
118294.7173,78.77664504,83512.51158,26195.55144,3430583.874,6851343.837
181232.2275,99.52606635,96540.28436,42895.7346,3371977.077,9890143.266
170086.0215,161.2903226,40967.74194,39322.58065,4453300.733,8451039.12
184227.7228,1648.514851,36346.53465,29292.07921,3168000,10143100
52566.20125,1035.146846,47987.48195,42527.68416,2759970.238,10678422.62
162638.6233,2375.717017,36835.56405,46142.44742,2910341.88,7350854.701
82109.51526,3994.614004,19380.61041,20682.22621,2430523.918,4920121.488
188589.1089,1188.118812,48646.86469,43085.80858,3232894.737,8657894.737
133731.9317,604.4678055,33850.19711,39145.86071,3635075.218,9334283.452
